bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront ,view,condition,grade,sqft_above,sqft_basement,caro?
0,0,0,1,0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,1
0,1,1,1,1,0,1,0,1,1,1,0
0,1,0,0,1,0,0,0,1,0,0,1
1,1,1,0,1,0,0,0,1,1,0,0
0,0,0,1,0,0,0,1,0,0,0,1
0,0,1,1,0,0,0,1,0,0,1,0
0,1,1,0,0,0,1,1,0,1,1,0
0,1,1,1,0,0,0,0,0,0,1,0
0,0,1,1,1,0,0,1,1,1,1,1
0,1,0,0,1,0,1,0,1,1,0,1
1,0,1,1,0,0,1,1,0,0,1,0
0,0,1,0,0,0,1,1,1,0,1,1
0,1,1,0,1,0,1,0,1,1,1,0
0,1,0,0,1,0,0,0,1,0,0,0
1,1,1,1,1,0,0,1,1,1,0,0
0,0,0,1,1,0,0,1,0,0,0,1
0,1,1,1,0,0,1,1,0,0,1,0
0,0,0,1,0,0,0,1,0,0,0,1
1,1,1,0,1,0,1,0,1,1,1,0
1,0,0,1,0,0,1,0,0,0,0,0
1,1,1,0,0,0,0,1,1,1,0,0
0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,1,0,0,1,0
0,1,0,0,1,0,1,0,1,1,0,0
0,1,1,0,1,0,0,0,1,1,1,0
1,1,1,1,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,1,0,0,0,1,0,0,1,0
0,0,0,0,0,0,0,1,0,0,0,1
0,1,1,1,0,0,0,0,1,1,1,0
0,0,0,0,0,0,0,1,0,0,1,0
0,1,0,0,0,0,0,1,0,0,1,0
0,0,1,0,1,0,1,0,1,1,0,1
0,1,0,1,0,0,0,0,1,0,0,1
1,1,1,0,0,0,1,0,1,1,1,1
1,1,1,0,0,0,0,1,0,0,1,0
0,1,0,0,1,0,0,0,1,1,0,0
1,0,0,1,0,0,0,0,0,0,1,0
0,1,1,0,1,0,0,0,1,1,0,1
0,0,1,1,0,0,0,1,0,0,1,0
1,1,1,0,1,0,0,0,1,1,1,0
0,0,0,1,0,0,0,0,0,0,0,1
1,1,1,0,1,0,1,0,1,1,1,1
0,1,1,1,1,0,0,0,1,1,0,1
1,0,1,0,0,0,0,1,0,0,1,0
0,1,0,0,1,0,0,0,1,1,0,1
1,1,0,1,0,0,0,1,0,0,1,0
1,0,0,1,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,1,0,0,1,1
0,0,0,1,0,0,0,0,0,0,0,1
1,0,1,1,0,0,0,1,0,0,1,0
0,0,0,1,0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,1,0,0,1,0
0,0,0,1,1,0,0,0,0,1,0,0
0,1,0,0,0,0,0,1,0,1,0,0
1,1,1,1,0,0,1,0,0,1,0,0
0,0,0,1,0,0,1,1,0,0,0,1
1,1,1,1,1,0,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,1,0,0,0,1,0,0,1,0
0,1,1,1,0,0,1,1,0,0,1,0
0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,1,0,0,1
0,1,1,1,0,0,0,1,0,0,1,0
0,1,0,0,1,0,0,0,1,0,0,0
1,0,1,1,0,0,0,1,0,0,1,0
1,0,1,1,0,0,0,0,1,1,0,1
0,0,0,1,0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,1,0,0,0,1
0,1,0,1,0,0,0,1,0,0,1,0
0,0,0,0,1,0,0,0,1,0,0,0
0,0,0,1,0,0,0,0,0,0,0,1
1,1,1,0,1,0,1,1,1,1,1,0
0,0,0,1,0,0,0,0,0,0,0,1
1,1,1,1,0,0,1,1,1,1,1,1
0,1,1,1,1,1,1,0,1,1,0,1
0,0,0,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,1,0,0,0,1
0,0,1,1,0,0,1,0,1,1,1,1
0,1,1,1,1,0,1,0,1,1,0,1
0,0,0,0,0,0,0,1,0,0,1,1
0,1,0,1,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,1,0,1,0,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,1,1,0,0,0,0,1,0,0
1,1,1,0,0,0,0,1,0,0,1,0
0,1,0,0,1,0,0,0,1,1,0,0
0,0,0,1,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,1,1,0,0,1
0,1,0,0,0,0,1,1,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1,0
0,1,1,0,1,0,1,0,0,1,0,1
0,1,0,0,0,0,1,1,0,0,1,1
0,1,1,1,1,0,1,1,1,1,1,1
1,0,1,1,1,0,0,0,1,1,0,0
0,0,0,1,0,0,0,1,1,0,0,1
0,0,0,1,0,0,0,0,0,0,0,0
1,0,1,0,0,0,1,1,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,0,1,1,1,1,1,0
0,1,1,1,0,0,1,1,1,1,1,0
0,0,0,0,1,0,0,0,1,1,0,1
1,1,1,1,1,0,1,1,1,1,0,1
1,1,1,1,1,0,0,1,1,1,1,0
0,1,1,1,1,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,1,0,0
0,1,1,1,0,0,1,0,1,1,1,0
0,0,0,1,0,0,0,1,0,1,0,1
0,0,0,0,0,0,0,1,0,0,0,1
1,1,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0,0,1,0
1,1,1,1,0,0,1,1,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,1
0,1,0,0,1,0,0,0,1,0,0,0
0,0,0,1,0,0,0,0,0,0,1,0
1,1,1,1,0,0,1,1,0,1,1,0
0,1,1,0,1,0,0,0,1,1,0,0
1,1,1,1,1,0,1,0,1,1,1,0
0,0,0,0,0,0,0,1,0,0,0,1
0,1,1,1,1,0,1,0,0,1,0,0
1,1,1,1,0,0,1,1,1,1,1,0
1,1,1,1,1,0,1,0,1,1,1,1
0,0,0,0,1,0,0,0,1,0,0,1
0,0,0,1,0,0,0,1,0,0,0,0
0,0,1,1,0,0,0,0,0,1,1,0
1,1,1,1,1,0,0,1,1,1,1,0
0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,1
1,1,1,0,1,0,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0,1,0,0
0,0,1,1,0,0,0,0,0,0,1,0
1,1,1,0,0,0,0,1,0,1,1,0
0,0,0,1,0,0,0,0,0,0,0,1
0,0,1,1,0,0,1,0,1,1,0,0
0,1,0,0,1,0,0,0,1,0,1,0
0,1,1,1,1,0,0,1,1,1,1,0
1,1,1,1,1,0,1,0,1,1,1,0
0,0,0,1,0,0,0,0,0,0,0,1
1,1,1,0,0,0,0,1,0,0,1,0
0,0,0,1,0,0,0,0,0,0,1,0
0,1,1,0,1,0,1,0,1,1,0,0
1,1,1,1,0,0,0,1,1,1,1,0
1,0,0,1,0,0,0,0,0,0,0,0
0,1,1,0,1,0,1,1,1,1,0,0
1,0,0,1,0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,1,0,0,1,0
0,0,0,0,0,0,1,0,0,0,0,1
0,0,1,1,0,0,0,0,0,0,1,0
0,1,0,0,1,0,0,0,1,0,0,1
0,0,0,1,0,0,1,1,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,1
0,1,0,0,1,0,0,0,1,0,1,0
0,1,1,1,1,0,1,1,1,1,1,0
1,0,0,0,0,0,0,0,0,1,0,0
1,1,1,0,0,0,0,1,1,0,1,0
1,0,0,0,0,0,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,1
0,1,1,1,0,0,0,1,1,0,1,0
1,0,1,1,0,0,0,0,0,0,1,0
1,0,0,1,0,0,0,0,0,0,1,0
0,0,0,1,0,0,0,0,0,0,0,1
0,1,0,0,1,0,0,0,1,1,0,0
0,0,0,0,0,0,0,1,0,0,1,0
1,1,1,1,1,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,0,0,1,0,1,1,0
1,0,1,1,0,0,0,1,0,0,1,0
0,0,0,1,0,0,0,1,0,0,1,0
0,0,1,1,0,0,1,1,1,0,1,1
1,0,1,0,0,0,0,1,1,1,1,1
1,1,1,1,1,0,1,0,1,1,1,0
0,0,0,1,0,0,0,1,0,0,1,0
0,1,0,1,1,0,0,1,0,1,0,0
1,1,1,1,0,0,0,1,0,0,1,0
0,1,1,1,0,0,1,0,1,1,0,0
1,1,1,1,0,0,0,1,0,1,1,0
0,0,0,1,0,0,0,0,1,1,0,0
0,1,1,1,0,0,0,1,0,0,1,0
1,1,1,0,0,0,0,0,1,1,1,0
0,1,1,0,0,0,0,1,0,0,1,0
0,1,0,0,0,0,0,1,0,0,1,1
0,0,0,1,0,0,0,0,0,0,0,1
0,1,1,0,1,0,0,0,1,1,1,0
0,1,0,0,1,0,0,0,0,1,0,0
0,0,0,0,0,0,1,1,0,0,1,1
1,0,1,0,1,0,0,0,1,1,1,0
0,1,1,0,1,0,1,0,1,1,1,1
0,1,0,0,1,0,0,0,1,0,1,0
1,1,1,1,0,0,0,1,0,1,1,0
0,0,0,0,0,0,0,1,1,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,1,0,0,0,1
1,1,1,1,0,0,0,1,0,1,1,0
0,0,0,0,1,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,1
0,0,1,1,0,0,1,1,1,1,1,0
0,0,0,1,0,0,1,0,0,0,0,1
0,0,0,1,0,0,0,1,0,0,0,1
0,1,1,1,0,0,1,1,1,1,1,0
0,1,0,1,0,0,0,1,0,0,1,0
0,0,0,0,0,0,1,1,0,0,0,1
0,0,0,0,0,0,0,1,0,0,1,0
1,1,1,0,0,0,0,0,1,1,0,0
0,1,0,0,1,0,0,0,1,0,1,0
0,0,0,1,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,0,0,0,1,0,1,1,0
0,1,1,1,1,0,1,0,1,1,1,0
0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0
0,1,1,1,0,0,0,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,1,0
0,1,0,0,1,0,0,0,1,0,0,1
1,1,1,0,0,0,0,0,1,0,1,1
0,0,1,1,0,0,1,1,1,0,1,0
0,1,1,1,0,0,1,1,1,1,1,0
1,1,1,1,0,0,1,1,1,1,1,0
0,1,0,0,1,0,0,0,1,1,0,0
1,1,1,1,0,0,0,1,1,0,1,0
1,1,1,0,0,0,0,0,1,1,1,0
1,0,0,0,0,0,0,1,0,1,0,1
0,1,0,1,0,0,0,1,1,1,0,1
0,1,1,1,0,0,1,1,0,1,1,0
1,1,1,1,0,0,1,1,1,1,1,0
1,0,1,1,0,0,1,0,1,0,1,0
1,0,1,1,0,0,1,0,0,0,1,0
0,1,0,0,1,0,0,1,0,1,0,0
0,0,1,1,0,0,0,1,0,0,1,0
0,1,1,1,1,0,1,0,1,1,1,1
0,1,0,0,1,0,0,0,1,0,0,0
0,0,0,1,0,0,0,1,0,0,0,1
0,1,0,1,0,0,0,0,1,1,0,1
0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,1,0,0,0,1
0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,0,1,0,0,0,1,0,0,0
0,1,1,0,1,0,0,0,1,1,0,0
0,0,0,1,0,0,0,1,0,0,0,1
1,0,0,1,0,0,1,0,0,0,0,1
1,0,0,1,0,0,0,1,1,1,0,1
0,0,0,0,1,0,0,0,1,0,0,1
1,1,1,1,1,0,1,0,0,1,0,0
1,1,1,1,0,0,0,1,1,1,1,0
0,1,1,1,0,0,1,0,1,1,1,0
0,0,0,1,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1,0
0,1,1,1,0,0,0,1,0,0,1,0
0,0,0,1,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,1,0,0,0
0,0,0,1,1,0,0,0,0,0,0,0
0,0,1,1,0,0,0,1,1,0,1,0
0,0,0,1,0,0,1,0,0,1,0,0
0,1,0,1,1,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,1,1,1,0,0
0,0,0,1,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,0,1,1,1,0
1,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,1,0,0,0,0,0,0,1,0
0,1,0,1,0,0,1,1,0,0,1,0
0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,1,0,0,1,0
0,1,0,0,1,0,0,1,0,1,0,1
1,1,1,1,1,0,0,1,1,1,0,0
0,0,0,1,0,0,0,1,0,0,0,1
0,1,1,1,0,0,1,0,1,1,1,0
0,0,0,1,0,0,0,0,0,0,1,0
0,0,1,1,0,0,1,1,1,1,1,0
1,0,1,1,0,0,1,1,1,0,1,1
0,1,0,0,1,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,1
1,1,1,1,0,0,1,1,1,1,1,0
0,1,0,0,1,0,0,0,1,0,0,1
1,1,1,0,1,0,0,0,1,1,0,0
0,1,0,0,1,0,1,0,1,0,0,0
1,1,1,1,1,0,1,0,1,1,1,0
0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,0,1,0,0,0,1,0,0,1
0,1,0,0,1,0,0,0,1,0,0,0
0,1,1,0,1,0,0,0,1,1,1,0
0,1,0,0,1,0,0,0,1,1,0,0
0,1,0,0,1,0,0,0,0,0,1,0
0,1,0,0,1,0,0,0,1,0,0,1
0,0,0,0,1,0,0,0,1,0,0,1
1,1,1,1,0,0,1,0,1,1,1,0
0,1,0,0,1,0,0,0,1,0,0,0
1,1,1,0,1,0,0,0,1,1,0,0
0,1,0,0,1,0,0,0,1,0,0,0
1,1,1,1,1,0,0,0,1,1,0,0
1,1,1,1,1,0,0,0,1,1,0,0
0,1,0,0,1,0,0,0,1,0,0,0
1,1,1,1,1,0,1,0,1,1,1,0
0,0,0,0,1,0,0,0,0,0,0,1
0,1,0,0,1,0,0,0,1,0,0,1
1,1,1,1,1,0,0,1,1,1,1,0
1,1,1,0,1,0,0,0,1,1,1,0
0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,0,1,0,0,0,1,1,0,1
0,1,1,1,1,0,0,0,1,1,1,1
1,1,1,0,1,0,0,0,1,1,1,0
0,1,0,0,1,0,1,0,1,1,0,0
